origin,carrier,flights,delay_rate,avg_delay_mins
MCO,UA,1092,0.230769230769231,18.4285714285714
MCO,WN,4238,0.285040113260972,17.3596035865975
MDW,WN,5751,0.210919840027821,10.8210745957225
MEM,AA,346,0.176300578034682,16.0
MEM,DL,315,0.0984126984126984,8.28888888888889
MEM,OO,322,0.111801242236025,5.59627329192547
MEM,WN,371,0.210242587601078,12.1374663072776
MIA,AA,4644,0.26937984496124,20.1315676141258
MIA,DL,830,0.243373493975904,17.6084337349398
MIA,MQ,943,0.109225874867444,7.06150583244963
MIA,UA,459,0.174291938997821,13.7429193899782
MIA,WN,369,0.197831978319783,11.2655826558266
MKE,DL,355,0.101408450704225,10.4957746478873
MKE,OO,571,0.329246935201401,29.1576182136602
MKE,WN,856,0.168224299065421,10.8352803738318
MSP,AA,370,0.140540540540541,18.3864864864865
MSP,DL,5293,0.175136973361043,10.7823540525222
MSP,OO,2006,0.0902293120638086,6.78664007976072
MSP,UA,471,0.227176220806794,13.583864118896
MSP,WN,529,0.175803402646503,9.37429111531191
MSY,AA,673,0.236255572065379,16.1901931649331
MSY,DL,603,0.144278606965174,10.5704809286899
MSY,NK,515,0.227184466019417,15.6640776699029
MSY,UA,599,0.165275459098498,9.8881469115192
MSY,WN,1697,0.24572775486152,13.0153211549794
OAK,WN,2364,0.228003384094755,12.6958544839255
OGG,HA,956,0.21652719665272,12.1757322175732
OGG,WN,354,0.0621468926553672,4.16949152542373
OKC,OO,670,0.18955223880597,16.3507462686567
OKC,WN,625,0.1744,10.4464
OMA,OO,450,0.113333333333333,7.38444444444444
OMA,WN,661,0.184568835098336,9.77458396369138
ONT,AA,323,0.198142414860681,20.0402476780186
ONT,WN,957,0.206896551724138,11.3333333333333
ORD,AA,5340,0.305992509363296,24.464606741573
ORD,DL,1009,0.278493557978196,21.009910802775
ORD,F9,383,0.289817232375979,34.8720626631854
ORD,MQ,4564,0.215600350569676,11.4815950920245
ORD,NK,394,0.195431472081218,11.753807106599
ORD,OH,348,0.35632183908046,46.2528735632184
ORD,OO,6371,0.300109872861403,22.2643227122901
ORD,UA,8662,0.251096744400831,14.8048949434311
ORD,WN,413,0.203389830508475,9.76997578692494
ORD,YX,1933,0.177961717537506,10.2426280393171
ORF,YX,362,0.248618784530387,17.1243093922652
PBI,AA,423,0.212765957446809,19.8557919621749
PBI,B6,595,0.248739495798319,19.8252100840336
PBI,DL,485,0.212371134020619,14.6948453608247
PDX,AA,332,0.186746987951807,22.4036144578313
PDX,AS,1796,0.219933184855234,11.8903118040089
PDX,DL,609,0.0788177339901478,5.10837438423645
PDX,OO,920,0.164130434782609,10.5771739130435
PDX,UA,619,0.153473344103393,7.55411954765751
PDX,WN,712,0.226123595505618,11.4606741573034
PGD,G4,578,0.129757785467128,7.51384083044983
PHL,AA,4219,0.262858497274236,20.7383266176819
PHL,DL,515,0.132038834951456,7.80582524271845
PHL,F9,714,0.210084033613445,17.1638655462185
PHL,OH,1543,0.225534672715489,17.701231367466
PHL,UA,365,0.183561643835616,13.5698630136986
PHL,WN,460,0.223913043478261,12.1565217391304
PHL,YX,658,0.206686930091185,15.40273556231
